video_id,channel_title,video_title,upload_date,view_count,like_count,dislike_count,comment_count
ATEnM1YPQQE,小高姐的 Magic Ingredients,"披萨做法 Pizza Margherita, Cheese Pizza and  Steak Pizza",2018-11-10,2389901,35248,,2046
ghZ2KkX5mcM,小高姐的 Magic Ingredients,奶酪制作 Mozzarella cheese,2018-10-25,2245118,46293,,2102
_S9XLtKDx3g,小高姐的 Magic Ingredients,蒸鸡蛋羹 Savory Egg Custard  用科学的方法蒸出完美的蛋羹,2018-10-13,2393893,38512,,1769
DEuyrQS5bK4,小高姐的 Magic Ingredients,咸绿豆酥饼 Mung Bean Pastry  （素油版 / Vegetarian),2018-10-06,1371921,19220,,1192
A1RXjvkUk4Q,小高姐的 Magic Ingredients,盐煮花生 Boiled Peanuts,2018-10-03,174133,2990,,238
0rUB1eau_to,小高姐的 Magic Ingredients,发绿豆芽 Grow Mung Bean Sprouts 三个要点 一次成功,2018-09-28,3778323,29560,,1251
mxgqbCwU1nw,小高姐的 Magic Ingredients,牛筋冻肉 Beef Tendon Aspic,2018-09-26,259325,5255,,441
rtL8TVynNyg,小高姐的 Magic Ingredients,广式月饼 Mooncake,2018-09-20,2407383,51677,,2358
ijG7Yn96B-g,小高姐的 Magic Ingredients,转化糖浆 / 月饼糖浆  Invert Sugar Syrup,2018-09-18,1048943,16051,,1013
OMeWvORraxk,小高姐的 Magic Ingredients,灌汤包子 Soup Dumplings 详细图解教你包包子,2018-09-12,4201469,72598,,2886
NnJ8c0dJQY0,小高姐的 Magic Ingredients,华夫薯片 Waffle Fries,2018-09-08,381772,8637,,415
_yReBfDw2vU,小高姐的 Magic Ingredients,麻辣牛肉干  Spicy Beef Jerky,2018-08-24,424362,7818,,388
VkgWeCxZfi4,小高姐的 Magic Ingredients,沙琪玛  Saqima （Syrup and Egg Noodle Cake）,2018-08-21,1483858,21427,,1299
u-9NTsTT-m8,小高姐的 Magic Ingredients,西红柿鸡蛋汤 Tomato Egg Soup,2018-08-13,3594713,56727,,1617
oVEZF2FI5WQ,小高姐的 Magic Ingredients,玉米饼 Cornbread,2018-08-07,392614,7717,,494
4CvZGm2l3UM,小高姐的 Magic Ingredients,香酥牛肉饼  Niu Rou Bing （Extra Crispy Beef Patties）,2018-08-03,1037176,23114,,1299
9XJZQzthrgA,小高姐的 Magic Ingredients,菠菜面 / 蒜蘸面 Spinach Noodles with Garlic Sauce,2018-07-29,2398079,57637,,1380
ip-np8gtjM8,小高姐的 Magic Ingredients,煎土豆 Roasted Potatoes 只要四个原料 土豆油盐水 做到焦酥至极其实很容易,2018-07-25,2747110,39496,,1281
kS_e3Id4Tvc,小高姐的 Magic Ingredients,脆皮黄瓜 Crispy Cucumber Salad 调料用到的最少 奇妙的味觉组合让你食欲大开,2018-07-21,618490,10416,,287
